carid	price
3	17.698301
4	8.561868
8	2.2918417
9	5.8268228
11	14.776418
15	28.285677
17	14.842935
19	3.7150435
21	5.1738214
27	2.1778722
28	23.834793
29	12.510867
30	20.0239
35	22.686127
36	2.5428526
37	24.573406
39	10.04959
42	1.8304448
43	6.5587626
44	3.2515383
46	9.746933
47	5.7640157
48	21.913465
52	5.938014
53	2.42618
54	16.375338
58	1.3430066
59	4.0287094
60	3.4639812
61	2.8096337
62	12.51494
63	3.195794
69	3.6072636
70	15.904207
71	4.563721
73	15.292318
77	6.8301687
80	2.9307165
81	4.4869375
82	7.3586044
83	8.890335
84	6.189604
86	2.0069237
87	7.746339
91	12.336958
92	0.600572
93	9.795158
95	1.8226147
97	5.295228
98	4.3471446
100	0.58836234
101	2.025657
103	6.3574286
107	3.0025802
109	3.0062456
110	6.252268
111	1.4248772
113	7.9679146
116	3.5501585
118	0.41064894
119	3.531292
120	5.32759
121	3.19211
126	3.5295043
127	3.6844115
128	6.5529385
129	7.6187735
134	4.987668
135	66.94967
137	5.5632033
139	7.242321
141	1.499327
142	4.020013
143	9.536021
146	9.58004
147	16.889372
152	3.2555404
153	6.6340976
154	16.301466
155	2.31907
160	8.642504
161	29.379147
163	12.359755
164	23.787163
166	6.6990566
167	3.779117
168	5.1473308
169	18.392288
170	15.523394
171	9.864273
181	3.7771735
182	3.7278256
184	4.4465656
191	11.167006
193	10.386694
194	32.451912
196	8.576107
200	3.1231208
201	4.9739313
206	4.112007
207	6.969364
209	6.558705
211	11.564875
213	4.613185
215	28.57534
216	49.477097
219	2.5258107
223	10.635048
225	4.3484993
226	3.5788174
227	7.4848223
228	3.6615028
230	7.184249
231	13.888295
233	3.8603444
234	7.0940313
236	2.0960603
237	41.955494
238	6.812155
241	7.2973156
242	6.545791
246	1.8267133
247	20.288904
250	7.916847
251	3.8953452
252	10.206066
255	6.196011
256	9.255634
259	25.833693
262	5.791325
263	10.302749
269	20.039156
270	2.9270205
272	13.418389
273	14.081038
274	4.4740458
276	10.627704
277	12.4450865
283	2.285521
290	4.2702065
291	5.579513
292	41.260147
293	1.5876825
296	3.491735
298	23.458012
299	19.677605
300	3.042501
301	4.0603676
304	8.755126
306	3.1132402
309	34.683628
310	1.7493002
311	5.473334
313	6.2185817
314	12.277942
315	1.7086864
316	4.133617
317	3.993627
318	8.395437
322	13.772256
325	3.047945
328	3.713704
329	10.467672
336	14.510923
337	3.8599858
338	0.88738596
340	14.873788
343	2.1525009
346	5.6081166
347	0.5092219
349	3.6088886
354	2.1201797
355	6.0101852
356	13.577394
357	18.311237
359	4.2754865
361	4.8439436
363	4.0358386
365	3.4456196
366	4.0562315
367	9.749691
370	13.615448
372	10.150698
374	35.856457
375	6.2838335
376	14.385344
377	27.708704
378	4.438203
380	22.278818
385	8.520254
388	3.0037074
389	2.57744
391	6.992187
393	2.99985
394	2.5361383
398	6.0964785
399	10.619266
400	8.442333
403	17.956318
405	15.68022
408	3.3612967
409	1.2443533
411	18.324276
412	12.07801
417	4.187122
418	8.451578
420	4.2856355
